date,eod_sammy,eod_og,eod_grilled,eod_tenders,eod_thaw,eod_boxed,del_dark,del_tenders,prep_sammy,prep_og,prep_grilled,prep_tenders,waste_sammy,waste_og,waste_grilled,waste_tenders,oil_fries,oil_left,oil_right,logged_by,id
2025-10-04,6.25,1.25,4.2,10.5,,,,,,,,,,,,,TRUE,FALSE,TRUE,,6fe6f2e5feac4mig
2025-10-05,5,1,4,8.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,8740488f4cf74mig
2025-10-06,4.5,1,4,7.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,470514afcda54mig
2025-10-07,7,2,3.25,11.25,,,,,3.3,0.9,,4,,,,,FALSE,TRUE,FALSE,,ec047e5d14ea4mig
2025-10-08,5.5,1.25,5.25,10,,,,,,,,,,,,,FALSE,FALSE,FALSE,,f89ab5ed23514mig
2025-10-09,10.5,2,3,12,,,115,55,6,1,,4,,,,,FALSE,FALSE,TRUE,,fd05e21c74774mig
2025-10-10,9,2,3,11,,,,,,,,,,,,,FALSE,FALSE,FALSE,,55c26ae964dc4mig
2025-10-11,7.1,1.05,2.5,9.85,,,,,,,,,,,,,TRUE,FALSE,FALSE,,0a3c72dd775a4mig
2025-10-12,6.5,1,,8.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,78045f2b8d874mig
2025-10-13,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,bf098c85299e4mig
2025-10-14,8,1.75,0.45,10.65,,,55,55,,,,,,,,,FALSE,FALSE,FALSE,,7426a6e6bffc4mig
2025-10-15,7,1.2,3.1,8,,,,,,,,,,,,,FALSE,TRUE,FALSE,,dc862bc768094mig
2025-10-16,10.25,2,2,12,,,75,55,4,1,,4,,,,,FALSE,FALSE,FALSE,,8cd245f654f84mig
2025-10-17,8,2,2,10,,,,,,,,,,,,,FALSE,FALSE,FALSE,,b99c876c39f54mig
2025-10-18,7.15,1.8,2.2,8.25,,,,,,,,,,,,,TRUE,FALSE,FALSE,,701ba8b3453b4mig
2025-10-19,6,1.5,1.7,6.75,,,,,,,,,,,,,FALSE,FALSE,FALSE,,8ee881cb1d184mig
2025-10-20,5.25,1.25,1.5,6,,,,,,,,,,,,,FALSE,FALSE,FALSE,,cda35f1b510e4mig
2025-10-21,7.2,1.75,1.4,8.8,,,55,55,3,0.5,,4,,,,,FALSE,FALSE,FALSE,,3805fd5ecf084mig
2025-10-22,7,2,4.05,7,,,,,,,,,,,,,FALSE,FALSE,FALSE,,57f93657f8064mig
